Section,Field,Value,Instructions,Example
STAFF_ACCOUNTS,Admissions Director Email,,"Email for login",jsmith@facility.com
STAFF_ACCOUNTS,Admissions Coordinator 1 Name,,"Full name",John Doe
STAFF_ACCOUNTS,Admissions Coordinator 1 Email,,"Email for login",jdoe@facility.com
STAFF_ACCOUNTS,Admissions Coordinator 2 Name,,"Full name (if applicable)",
STAFF_ACCOUNTS,Admissions Coordinator 2 Email,,"Email for login",
STAFF_ACCOUNTS,Clinical Reviewer Name,,"Full name (if applicable)",
STAFF_ACCOUNTS,Clinical Reviewer Email,,"Email for login",

NOTES,P&L Calculation Help,,"To calculate nursing cost/day: (Total nursing payroll from P&L) / (Total patient days). Example: $500k payroll / 10,000 patient days = $50/day",
NOTES,Industry Benchmarks,,"If you don't have P&L data, use these estimates: LOW=$80-100/day, MEDIUM=$140-180/day, HIGH=$220-280/day, COMPLEX=$300-400/day",
NOTES,Wage Index Lookup,,"Go to cms.gov → Search 'SNF PPS wage index 2024' → Find your county → Use 'Wage Index' column",
NOTES,VBP Lookup,,"VBP (Value-Based Purchasing) multiplier is on your Medicare remittance advice. If you don't have it, use 1.0 (neutral)",
